Aqua,00FFFF
Aquamarine,7FFFD4
Medium Aquamarine,66CDAA
Azure,F0FFFF
Beige,F5F5DC
Bisque,FFE4C4
Black,000000
Blanched Almond,FFEBCD
Blue,0000FF
Dark Blue,00008B
Light Blue,ADD8E6
Medium Blue,0000CD
Alice Blue,F0F8FF
Cadet Blue,5F9EA0
Dodger Blue,1E90FF
Midnight Blue,191970
Navy Blue,000080
Powder Blue,B0E0E6
Royal Blue,4169E1
Sky Blue,87CEEB
Deep Sky Blue,00BFFF
Light Sky Blue,87CEFA
Slate Blue,6A5ACD
Dark Slate Blue,483D8B
Medium Slate Blue,7B68EE
Steel Blue,4682B4
Light Steel Blue,B0C4DE
Brown,A52A2A
Rosy Brown,BC8F8F
Saddle Brown,8B4513
Sandy Brown,F4A460
Burlywood,DEB887
Chartreuse,7FFF00
Chocolate,D2691E
Coral,FF7F50
Light Coral,F08080
Cornflower,6495ED
Cornsilk,FFF8DC
Crimson,DC143C
Cyan,00FFFF
Dark Cyan,008B8B
Light Cyan,E0FFFF
Firebrick,B22222
Fuchsia,FF00FF
Gainsboro,DCDCDC
Gold,FFD700
Goldenrod,DAA520
Dark Goldenrod,B8860B
Light Goldenrod,FAFAD2
Pale Goldenrod,EEE8AA
Gray,BEBEBE
Dark Gray,A9A9A9
Dim Gray,696969
Light Gray,D3D3D3
Slate Gray,708090
Light Slate Gray,778899
Web Gray,808080
Green,00FF00
Dark Green,006400
Light Green,90EE90
Pale Green,98FB98
Dark Olive Green,556B2F
Yellow Green,9ACD32
Forest Green,228B22
Lawn Green,7CFC00
Lime Green,32CD32
Sea Green,2E8B57
Dark Sea Green,8FBC8F
Light Sea Green,20B2AA
Medium Sea Green,3CB371
Spring Green,00FF7F
Medium Spring Green,00FA9A
Web Green,008000
Honeydew,F0FFF0
Indian Red,CD5C5C
Indigo,4B0082
Ivory,FFFFF0
Khaki,F0E68C
Dark Khaki,BDB76B
Lavender,E6E6FA
Lavender Blush,FFF0F5
Lemon Chiffon,FFFACD
Lime,00FF00
Linen,FAF0E6
Magenta,FF00FF
Dark Magenta,8B008B
Maroon,B03060
Web Maroon,7F0000
Mint Cream,F5FFFA
Misty Rose,FFE4E1
Moccasin,FFE4B5
Old Lace,FDF5E6
Olive,808000
Olive Drab,6B8E23
Orange,FFA500
Dark Orange,FF8C00
Orchid,DA70D6
Dark Orchid,9932CC
Medium Orchid,BA55D3
Papaya Whip,FFEFD5
Peach Puff,FFDAB9
Peru,CD853F
Pink,FFC0CB
Deep Pink,FF1493
Light Pink,FFB6C1
Hot Pink,FF69B4
Plum,DDA0DD
Purple,A020F0
Medium Purple,9370DB
Rebecca Purple,663399
Web Purple,7F007F
Red,FF0000
Dark Red,8B0000
Orange Red,FF4500
Medium Violet Red,C71585
Pale Violet Red,DB7093
Salmon,FA8072
Dark Salmon,E9967A
Light Salmon,FFA07A
Seashell,FFF5EE
Sienna,A0522D
Silver,C0C0C0
Dark Slate Gray,2F4F4F
Snow,FFFAFA
Tan,D2B48C
Teal,008080
Thistle,D8BFD8
Tomato,FF6347
Turquoise,40E0D0
Dark Turquoise,00CED1
Medium Turquoise,48D1CC
Pale Turquoise,AFEEEE
Violet,EE82EE
Dark Violet,9400D3
Blue Violet,8A2BE2
Wheat,F5DEB3
White,FFFFFF
Antique White,FAEBD7
Floral White,FFFAF0
Ghost White,F8F8FF
Navajo White,FFDEAD
White Smoke,F5F5F5
Yellow,FFFF00
Light Yellow,FFFFE0
Green Yellow,ADFF2F
